# Manual Payne Smith TSV — Peshitta glosses for proof verses (Matt 1:1, Mark 1:1, Luke 1:1, John 1:1)
# Source: Payne Smith, "A Compendious Syriac Dictionary" (Oxford, 1903) — public domain
# Cross-ref: CAL (Comprehensive Aramaic Lexicon, cal.huc.edu)
# GlossSource enum value: "PayneSmith"
# Columns: word <TAB> lemma <TAB> gloss <TAB> source <TAB> notes
# "word" matches exact cell text in data/*.json peshitta fields.
# Prefixed forms (ܕ- ܒ- ܠ- ܘ-) listed under their prefixed token; lemma is the unprefixed base.
word	lemma	gloss	source	notes
ܣܦܪܐ	ܣܦܪܐ	book	PayneSmith	CSD p.378; CAL: sphro; Matt 1:1 r1, Luke's cognate ܣܦܪܐ
ܕܝܠܕܘܬܗ	ܝܠܕܘܬܐ	of his generation	PayneSmith	ܕ- genitive prefix + ܝܠܕܘܬܐ (birth/generation) + ܗ 3msg suffix; CSD p.207; Matt 1:1 r2
ܕܝܫܘܥ	ܝܫܘܥ	of Jesus	PayneSmith	ܕ- genitive prefix + proper name ܝܫܘܥ (Yeshu); Matt 1:1 r3, Mark 1:1 r4
ܡܫܝܚܐ	ܡܫܝܚܐ	Christ	PayneSmith	the Anointed One; CSD p.281; CAL: mshyħo; Matt 1:1 r4, Mark 1:1 r5
ܒܪ	ܒܪ	son	PayneSmith	construct state; CSD p.50; CAL: br; Matt 1:1 r5 r7, Mark 1:1 r6
ܕܘܝܕ	ܕܘܝܕ	David	PayneSmith	proper name; transliteration of Hebrew דָּוִד; Matt 1:1 r6
ܐܒܪܗܡ	ܐܒܪܗܡ	Abraham	PayneSmith	proper name; transliteration of Hebrew אַבְרָהָם; Matt 1:1 r8
ܫܘܪܝܐ	ܫܘܪܝܐ	beginning	PayneSmith	CSD p.558 (under ܫܪܐ); CAL: shryo; Mark 1:1 r1
ܣܒܪܬܐ	ܣܒܪܬܐ	gospel	PayneSmith	good news, tidings; CSD p.358; CAL: sbrt'; Mark 1:1 r3
ܐܠܗܐ	ܐܠܗܐ	God	PayneSmith	CSD p.15; CAL: 'lh'; Mark 1:1 r7, John 1:1 r14
ܡܛܠ	ܡܛܠ	because	PayneSmith	causal preposition; CSD p.261; CAL: mṭl; Luke 1:1 r1
ܣܓܝܐܐ	ܣܓܝܐܐ	many	PayneSmith	adjective; CSD p.360; CAL: sgy'; Luke 1:1 r2
ܐܫܬܕܠܘ	ܫܕܠ	they attempted	PayneSmith	Eshtaphal perf. 3mpl of ܫܕܠ (to strive, to endeavor); CSD p.549; CAL: šdl; Luke 1:1 r3
ܠܡܟܬܒ	ܟܬܒ	to write	PayneSmith	ܠ- infinitive prefix + Peal inf. of ܟܬܒ (to write); CSD p.228; CAL: ktb; Luke 1:1 r5
ܬܫܥܝܬܐ	ܬܫܥܝܬܐ	account	PayneSmith	narrative, history; CSD p.606; CAL: tš'yt'; Luke 1:1 r6
ܕܐܝܠܝܢ	ܐܝܠܝܢ	of those things which	PayneSmith	ܕ- relative prefix + ܐܝܠܝܢ (those, which); CSD p.15; CAL: 'ylyn; Luke 1:1 r7
ܕܐܬܡܠܝ	ܡܠܐ	were fulfilled	PayneSmith	ܕ- + Itpa. perf. 3msg of ܡܠܐ (to be full, to be fulfilled); CSD p.260; CAL: ml'; Luke 1:1 r9
ܒܝܢܬܢ	ܒܝܢܬ	among us	PayneSmith	ܒܝܢܬ (among) + ܢ 1cpl suffix; CSD p.59; CAL: bynth; Luke 1:1 r11
ܒܪܫܝܬ	ܪܫܝܬ	in the beginning	PayneSmith	ܒ- locative prefix + ܪܫܝܬ (beginning, first); CSD p.534; CAL: ršyt; John 1:1 r2
ܐܝܬܘܗܝ	ܐܝܬ	was	PayneSmith	existential particle ܐܝܬ + ܘܗܝ 3msg enclitic; CSD p.14; CAL: 'yt; John 1:1 r3 r10 r17
ܗܘܐ	ܗܘܐ	was [aux]	PayneSmith	past auxiliary/copula; CSD p.118; CAL: hw'; John 1:1 r4 r11 r18
ܡܠܬܐ	ܡܠܬܐ	the Word	PayneSmith	word, utterance; the Logos; CSD p.262; CAL: mlt'; John 1:1 r6 r9 r20
ܘܗܘ	ܗܘ	and he	PayneSmith	ܘ- copulative conjunction + ܗܘ 3msg pronoun; CSD p.117; CAL: hw; John 1:1 r7
ܠܘܬ	ܠܘܬ	with	PayneSmith	preposition: toward, beside, at; CSD p.235; CAL: lwt; John 1:1 r12
ܘܐܠܗܐ	ܐܠܗܐ	and God	PayneSmith	ܘ- conjunction prefix + ܐܠܗܐ; same lemma as ܐܠܗܐ row; John 1:1 r15
ܗܘ ܡܠܬܐ	ܗܘ	he was the Word	PayneSmith	two-word compound token: ܗܘ (hu, demonstrative/pronoun) + ܡܠܬܐ (miltha); Jn 1:1c Peshitta idiom; John 1:1 r20
